iter	Passed	Remaining
1382	132031	154371
1383	132123	154271
1384	132215	154172
1385	132316	154083
1386	132403	153977
1387	132500	153883
1388	132599	153791
1389	132691	153693
1390	132787	153598
1391	132887	153507
1392	132988	153418
1393	133084	153323
1394	133182	153231
1395	133280	153138
1396	133375	153042
1397	133490	152970
1398	133589	152878
1399	133682	152779
1400	133776	152682
1401	133874	152589
1402	133970	152495
1403	134081	152416
1404	134175	152319
1405	134262	152215
1406	134355	152117
1407	134449	152019
1408	134555	151936
1409	134643	151832
1410	134747	151745
1411	134840	151647
1412	134932	151547
1413	135030	151455
1414	135136	151371
1415	135222	151265
1416	135314	151165
1417	135408	151069
1418	135505	150975
1419	135592	150870
1420	135681	150767
1421	135774	150669
1422	135867	150571
1423	135955	150467
1424	136047	150367
1425	136141	150270
1426	136232	150170
1427	136331	150079
1428	136431	149988
1429	136524	149890
1430	136622	149798
1431	136726	149711
1432	136821	149616
1433	136907	149509
1434	137005	149417
1435	137097	149317
1436	137191	149220
1437	137286	149124
1438	137380	149028
1439	137476	148932
1440	137573	148839
1441	137658	148732
1442	137751	148634
1443	137844	148535
1444	137942	148443
1445	138034	148343
1446	138128	148247
1447	138231	148159
1448	138323	148060
1449	138417	147963
1450	138512	147868
1451	138602	147766
1452	138697	147670
1453	138796	147578
1454	138896	147488
1455	138993	147394
1456	139087	147297
1457	139186	147205
1458	139282	147111
1459	139377	147014
1460	139467	146913
1461	139556	146811
1462	139656	146720
1463	139759	146632
1464	139858	146541
1465	139954	146445
1466	140054	146355
1467	140142	146252
1468	140233	146152
1469	140329	146056
1470	140430	145967
1471	140525	145871
1472	140616	145771
1473	140715	145679
1474	140809	145582
1475	140896	145478
1476	140989	145381
1477	141085	145285
1478	141184	145194
1479	141285	145104
1480	141376	145004
1481	141472	144908
1482	141570	144815
1483	141658	144713
1484	141751	144615
1485	141852	144525
1486	141948	144430
1487	142048	144339
1488	142137	144237
1489	142233	144142
1490	142333	144051
1491	142428	143955
1492	142519	143855
1493	142612	143757
1494	142701	143655
1495	142802	143566
1496	142901	143474
1497	142992	143374
1498	143088	143279
1499	143180	143180
1500	143283	143092
1501	143372	142991
1502	143459	142886
1503	143573	142809
1504	143661	142706
1505	143763	142618
1506	143853	142517
1507	143948	142421
1508	144040	142322
1509	144140	142231
1510	144237	142137
1511	144335	142044
1512	144435	141953
1513	144537	141864
1514	144631	141767
1515	144727	141672
1516	144814	141568
1517	144910	141473
1518	145004	141377
1519	145100	141282
1520	145190	141180
1521	145284	141084
1522	145376	140985
1523	145470	140888
1524	145562	140789
1525	145653	140690
1526	145759	140604
1527	145861	140515
1528	145955	140418
1529	146049	140322
1530	146143	140225
1531	146247	140138
1532	146344	140044
1533	146437	139945
1534	146522	139840
1535	146614	139741
1536	146716	139652
1537	146808	139553
1538	146891	139446
1539	146983	139347
1540	147079	139252
1541	147172	139155
1542	147268	139060
1543	147360	138961
1544	147456	138866
1545	147551	138770
1546	147655	138683
1547	147744	138582
1548	147836	138483
1549	147929	138385
1550	148029	138294
1551	148123	138197
1552	148216	138099
1553	148304	137997
1554	148411	137912
1555	148517	137827
1556	148617	137735
1557	148723	137650
1558	148806	137543
1559	148895	137441
1560	148994	137350
1561	149088	137253
1562	149187	137160
1563	149285	137067
1564	149387	136978
1565	149489	136888
1566	149584	136793
1567	149678	136696
1568	149786	136612
1569	149890	136524
1570	149994	136436
1571	150098	136348
1572	150187	136247
1573	150276	136145
1574	150374	136053
1575	150464	135952
1576	150553	135851
